product_id,location_id,week_date,units_sold,revenue,promotion_status,discount_percentage
1,4,2024-01-01,257,1811.85,False,0
1,4,2024-01-08,583,4110.15,False,0
1,4,2024-01-15,446,3144.3,False,0
1,4,2024-01-22,431,2734.69,True,10
1,4,2024-01-29,403,2414.98,True,15
1,4,2024-02-05,616,3691.38,True,15
1,4,2024-02-12,309,2178.45,False,0
1,4,2024-02-19,718,4555.71,True,10
1,4,2024-02-26,500,3525.0,False,0
1,4,2024-03-04,370,2608.5,False,0
1,4,2024-03-11,466,3285.3,False,0
1,4,2024-03-18,199,1192.51,True,15
1,4,2024-03-25,426,3003.3,False,0
1,4,2024-04-01,499,3517.95,False,0
1,4,2024-04-08,212,1494.6,False,0
1,4,2024-04-15,204,1438.2,False,0
1,4,2024-04-22,432,3045.6,False,0
1,4,2024-04-29,329,2319.45,False,0
1,4,2024-05-06,474,2506.27,True,25
1,4,2024-05-13,523,3687.15,False,0
1,4,2024-05-20,136,958.8,False,0
1,4,2024-05-27,294,2072.7,False,0
1,4,2024-06-03,292,2058.6,False,0
1,4,2024-06-10,212,1494.6,False,0
1,4,2024-06-17,959,5408.76,True,20
1,4,2024-06-24,556,3919.8,False,0
1,4,2024-07-01,501,3532.05,False,0
1,4,2024-07-08,139,979.95,False,0
1,4,2024-07-15,698,4920.9,False,0
1,4,2024-07-22,362,2552.1,False,0
1,4,2024-07-29,154,1085.7,False,0
1,4,2024-08-05,208,1466.4,False,0
1,4,2024-08-12,378,2664.9,False,0
1,4,2024-08-19,536,3778.8,False,0
1,4,2024-08-26,371,2353.99,True,10
1,4,2024-09-02,297,1570.39,True,25
1,4,2024-09-09,399,2812.95,False,0
1,4,2024-09-16,372,2622.6,False,0
1,4,2024-09-23,418,2946.9,False,0
1,4,2024-09-30,493,3475.65,False,0
1,4,2024-10-07,173,1219.65,False,0
1,4,2024-10-14,285,2009.25,False,0
1,4,2024-10-21,136,958.8,False,0
1,4,2024-10-28,428,3017.4,False,0
1,4,2024-11-04,811,4574.04,True,20
1,4,2024-11-11,381,2283.14,True,15
1,4,2024-11-18,387,2728.35,False,0
1,4,2024-11-25,179,1261.95,False,0
1,4,2024-12-02,465,3278.25,False,0
1,4,2024-12-09,217,1529.85,False,0
1,4,2024-12-16,371,2615.55,False,0
1,4,2024-12-23,215,1515.75,False,0
1,2,2024-01-01,110,775.5,False,0
1,2,2024-01-08,258,1455.12,True,20
1,2,2024-01-15,147,777.26,True,25
1,2,2024-01-22,115,608.06,True,25
1,2,2024-01-29,170,1078.65,True,10
1,2,2024-02-05,217,1223.88,True,20
1,2,2024-02-12,127,895.35,False,0
1,2,2024-02-19,164,1156.2,False,0
1,2,2024-02-26,189,1332.45,False,0
1,2,2024-03-04,140,987.0,False,0
1,2,2024-03-11,134,944.7,False,0
1,2,2024-03-18,263,1576.03,True,15
1,2,2024-03-25,65,458.25,False,0
1,2,2024-04-01,55,387.75,False,0
1,2,2024-04-08,251,1504.12,True,15
1,2,2024-04-15,55,387.75,False,0
1,2,2024-04-22,67,472.35,False,0
1,2,2024-04-29,36,253.8,False,0
1,2,2024-05-06,176,1240.8,False,0
1,2,2024-05-13,217,1529.85,False,0
1,2,2024-05-20,93,655.65,False,0
1,2,2024-05-27,193,1360.65,False,0
1,2,2024-06-03,110,659.17,True,15
1,2,2024-06-10,110,775.5,False,0
1,2,2024-06-17,161,1135.05,False,0
1,2,2024-06-24,233,1642.65,False,0
1,2,2024-07-01,263,1854.15,False,0
1,2,2024-07-08,226,1593.3,False,0
1,2,2024-07-15,103,726.15,False,0
1,2,2024-07-22,117,824.85,False,0
1,2,2024-07-29,302,2129.1,False,0
1,2,2024-08-05,266,1875.3,False,0
1,2,2024-08-12,149,945.4,True,10
1,2,2024-08-19,295,1559.81,True,25
1,2,2024-08-26,194,1367.7,False,0
1,2,2024-09-02,167,1059.62,True,10
1,2,2024-09-09,107,754.35,False,0
1,2,2024-09-16,165,1163.25,False,0
1,2,2024-09-23,174,1226.7,False,0
1,2,2024-09-30,65,458.25,False,0
1,2,2024-10-07,162,1142.1,False,0
1,2,2024-10-14,67,472.35,False,0
1,2,2024-10-21,153,1078.65,False,0
1,2,2024-10-28,77,542.85,False,0
1,2,2024-11-04,84,592.2,False,0
1,2,2024-11-11,39,274.95,False,0
1,2,2024-11-18,65,389.51,True,15
1,2,2024-11-25,181,1276.05,False,0
1,2,2024-12-02,72,507.6,False,0
1,2,2024-12-09,56,394.8,False,0
1,2,2024-12-16,43,303.15,False,0
1,2,2024-12-23,124,874.2,False,0
1,13,2024-01-01,185,1108.61,True,15
1,13,2024-01-08,159,1120.95,False,0
1,13,2024-01-15,337,1900.68,True,20
1,13,2024-01-22,97,683.85,False,0
1,13,2024-01-29,111,782.55,False,0
1,13,2024-02-05,250,1762.5,False,0
1,13,2024-02-12,82,578.1,False,0
1,13,2024-02-19,42,296.1,False,0
1,13,2024-02-26,232,1635.6,False,0
1,13,2024-03-04,160,1128.0,False,0
1,13,2024-03-11,197,1388.85,False,0
1,13,2024-03-18,213,1501.65,False,0
1,13,2024-03-25,354,2246.13,True,10
1,13,2024-04-01,93,655.65,False,0
1,13,2024-04-08,95,669.75,False,0
1,13,2024-04-15,304,1928.88,True,10
1,13,2024-04-22,47,331.35,False,0
1,13,2024-04-29,238,1677.9,False,0
1,13,2024-05-06,168,1184.4,False,0
1,13,2024-05-13,183,1290.15,False,0
1,13,2024-05-20,47,331.35,False,0
1,13,2024-05-27,202,1424.1,False,0
1,13,2024-06-03,301,1909.85,True,10
1,13,2024-06-10,160,1128.0,False,0
1,13,2024-06-17,121,853.05,False,0
1,13,2024-06-24,171,1205.55,False,0
1,13,2024-07-01,227,1600.35,False,0
1,13,2024-07-08,180,1269.0,False,0
1,13,2024-07-15,175,1233.75,False,0
1,13,2024-07-22,233,1642.65,False,0
1,13,2024-07-29,306,2157.3,False,0
1,13,2024-08-05,176,930.6,True,25
1,13,2024-08-12,259,1825.95,False,0
1,13,2024-08-19,187,1318.35,False,0
1,13,2024-08-26,360,2157.3,True,15
1,13,2024-09-02,186,1180.17,True,10
1,13,2024-09-09,196,1381.8,False,0
1,13,2024-09-16,244,1720.2,False,0
1,13,2024-09-23,91,641.55,False,0
1,13,2024-09-30,269,1896.45,False,0
1,13,2024-10-07,194,1367.7,False,0
1,13,2024-10-14,55,387.75,False,0
1,13,2024-10-21,86,606.3,False,0
1,13,2024-10-28,117,824.85,False,0
1,13,2024-11-04,148,1043.4,False,0
1,13,2024-11-11,250,1762.5,False,0
1,13,2024-11-18,175,1233.75,False,0
1,13,2024-11-25,137,820.97,True,15
1,13,2024-12-02,162,1142.1,False,0
1,13,2024-12-09,175,1233.75,False,0
1,13,2024-12-16,199,1402.95,False,0
1,13,2024-12-23,229,1614.45,False,0
2,14,2024-01-01,218,505.76,False,0
2,14,2024-01-08,366,849.12,False,0
2,14,2024-01-15,606,1265.33,True,10
2,14,2024-01-22,205,475.6,False,0
2,14,2024-01-29,374,867.68,False,0
2,14,2024-02-05,118,219.01,True,20
2,14,2024-02-12,267,619.44,False,0
2,14,2024-02-19,379,879.28,False,0
2,14,2024-02-26,213,494.16,False,0
2,14,2024-03-04,416,965.12,False,0
2,14,2024-03-11,487,960.36,True,15
2,14,2024-03-18,147,341.04,False,0
2,14,2024-03-25,128,296.96,False,0
2,14,2024-04-01,389,902.48,False,0
2,14,2024-04-08,197,411.34,True,10
2,14,2024-04-15,433,1004.56,False,0
2,14,2024-04-22,349,809.68,False,0
2,14,2024-04-29,625,1160.0,True,20
2,14,2024-05-06,118,273.76,False,0
2,14,2024-05-13,541,1255.12,False,0
2,14,2024-05-20,388,900.16,False,0
2,14,2024-05-27,286,663.52,False,0
2,14,2024-06-03,644,1494.08,False,0
2,14,2024-06-10,609,1412.88,False,0
2,14,2024-06-17,663,1538.16,False,0
2,14,2024-06-24,778,1534.22,True,15
2,14,2024-07-01,353,614.22,True,25
2,14,2024-07-08,319,740.08,False,0
2,14,2024-07-15,408,946.56,False,0
2,14,2024-07-22,276,640.32,False,0
2,14,2024-07-29,349,809.68,False,0
2,14,2024-08-05,433,1004.56,False,0
2,14,2024-08-12,593,1375.76,False,0
2,14,2024-08-19,441,1023.12,False,0
2,14,2024-08-26,1141,2382.41,True,10
2,14,2024-09-02,433,1004.56,False,0
2,14,2024-09-09,552,1280.64,False,0
2,14,2024-09-16,471,1092.72,False,0
2,14,2024-09-23,505,1171.6,False,0
2,14,2024-09-30,284,658.88,False,0
2,14,2024-10-07,616,1143.3,True,20
2,14,2024-10-14,340,788.8,False,0
2,14,2024-10-21,357,745.42,True,10
2,14,2024-10-28,271,628.72,False,0
2,14,2024-11-04,190,440.8,False,0
2,14,2024-11-11,480,1113.6,False,0
2,14,2024-11-18,465,1078.8,False,0
2,14,2024-11-25,465,1078.8,False,0
2,14,2024-12-02,414,960.48,False,0
2,14,2024-12-09,322,747.04,False,0
2,14,2024-12-16,502,1164.64,False,0
2,14,2024-12-23,543,1259.76,False,0
2,11,2024-01-01,281,651.92,False,0
2,11,2024-01-08,206,477.92,False,0
2,11,2024-01-15,425,739.5,True,25
2,11,2024-01-22,317,735.44,False,0
2,11,2024-01-29,283,656.56,False,0
2,11,2024-02-05,439,1018.48,False,0
2,11,2024-02-12,419,972.08,False,0
2,11,2024-02-19,562,1043.07,True,20
2,11,2024-02-26,154,357.28,False,0
2,11,2024-03-04,365,846.8,False,0
2,11,2024-03-11,538,1248.16,False,0
2,11,2024-03-18,822,1525.63,True,20
2,11,2024-03-25,202,468.64,False,0
2,11,2024-04-01,255,591.6,False,0
2,11,2024-04-08,504,1169.28,False,0
2,11,2024-04-15,396,918.72,False,0
2,11,2024-04-22,294,682.08,False,0
2,11,2024-04-29,476,1104.32,False,0
2,11,2024-05-06,586,1359.52,False,0
2,11,2024-05-13,134,310.88,False,0
2,11,2024-05-20,294,682.08,False,0
